Job Title,Job Title Clean,Job Title Clean 2
Operating Theatre Technician / Surgical Assistant (Hospital/ Up $3000),Surgical Assistant,['Operating Theatre Technician']
Operations Manager (Healthcare /Migrant Worker Medical Centre),Operations Manager,['Operations Manager']
Contract Storekeeper (NHG Pharmacy),Contract Storekeeper,['Storekeeper']
Clinic assistant,Clinic Assistant,['Clinic assistant']
Clinical Counsellor (Eating Disorder Programme),Clinical Counsellor,['Clinical Counsellor']
IT Service Engineer,It Service Engineer,['IT Service Engineer']
Technical Support,Technical Support,['Technical Support']
Regional IT Infrastructure Specialist,Regional It Infrastructure Specialist,['Regional IT Infrastructure Specialist']
Tech Support Specialist,Tech Support Specialist,['Tech Support Specialist']
IT & Operations Support Specialist,It & Operations Support Specialist,['IT & Operations Support Specialist']
L1 Data Centre Engineer,L1 Data Centre Engineer,['L1 Data Centre Engineer']
"Assistant Manager, Operations Technology & Systems",Assistant Manager,['Assistant Manager']
Software Engineer,Software Engineer,['Software Engineer']
Service Delivery Manager,Service Delivery Manager,['Service Delivery Manager']
"Senior Operator, Data Centre",Senior Operator,['Senior Operator']
UAT Manager,Uat Manager,['UAT Manager']
I.T EXECUTIVE,I.T Executive,['I.T EXECUTIVE']
Data Engineer,Data Engineer,['Data Engineer']
IT Executive,It Executive,['IT Executive']
Head Technology,Head Technology,['Head Technology']
Data Analyst (Construction),Data Analyst,['Data Analyst']
"System Support Officer (No Experience Required, 9 Months Contract)",System Support Officer,['System Support Officer']
"IT Support Executive(Helpdesk), Semiconductor Industry",Semiconductor Industry,['IT Support']
Software Engineer,Software Engineer,['Software Engineer']
"Digital Technology Specialist, Asia",Digital Technology Specialist,['Digital Technology Specialist']
Data Engineer (Government),Data Engineer,['Data Engineer']
Systems Engineer (Windows),Systems Engineer,['Systems Engineer']
ID Administrator,Id Administrator,['ID Administrator']
System Analyst (Digital Banking),System Analyst,['System Analyst']
"Junior System Engineer - Network Support , Training Provided",Junior System Engineer,['Junior System Engineer']
IT Support Engineer,It Support Engineer,['IT Support Engineer']
Network Engineer,Network Engineer,['Network Engineer']
IT Support Engineer,It Support Engineer,['IT Support Engineer']
IT Executive,It Executive,['IT Executive']
ICT executive,Ict Executive,['ICT executive']
IT Business Analyst,It Business Analyst,['IT Business Analyst']
Data Analyst | Govt | JO-25573,Data Analyst | Govt |,['Data Analyst']
ICT support,Ict,['ICT support']
Associate System Engineer (2 yr direct contract),Associate System Engineer,['Associate System Engineer']
IT Support Manager,It Support Manager,['IT Support Manager']
Assistant IT Manager (Infrastructure),Assistant It Manager,['Assistant IT Manager']
Network Engineer/ Senior Network Engineer,Network Engineer/ Senior Network Engineer,['Network Engineer/ Senior Network Engineer']
Network Engineer,Network Engineer,['Network Engineer']
IT Support Engineer,It Support Engineer,['IT Support Engineer']
IT Support Engineer,It Support Engineer,['IT Support Engineer']
WINTEL Engineer (Full Time / AWS / VMware / SAN),Wintel Engineer,['WINTEL Engineer']
Production Support (RN),Production Support,['Production Support']
WPG IT Software Engineer,Wpg It Software Engineer,['WPG IT Software Engineer']
Assistant Engineer (Project Field Engineering),Assistant Engineer,['Assistant Engineer']
Engineer,Engineer,['Engineer']
Engineer,Engineer,['Engineer']
Operations Technician (Shift),Operations Technician,['Operations Technician']
Electrical Engineer,Electrical Engineer,['Electrical Engineer']
Mechanical Engineer (Engineering),Mechanical Engineer,['Mechanical Engineer']
Test Engineer (Junior),Test Engineer,['Test Engineer']
ELECTRICAL CONTROL & DESIGN ENGINEER,Electrical Control & Design Engineer,['ELECTRICAL CONTROL & DESIGN ENGINEER']
Project Engineer/ Supervisor,Project Engineer/ Supervisor,['Project Engineer/ Supervisor']
Electrical Design Engineer,Electrical Design Engineer,['Electrical Design Engineer']
Electrical Maintenance Technician,Electrical Maintenance Technician,['Electrical Maintenance Technician']
Customer Applications Engineer - Vision Systems,Customer Applications Engineer - Vision Systems,['Customer Applications Engineer']
Facility Engineer (Manufacturing),Facility Engineer,['Facility Engineer']
FIELD SERVICE ENGINEER / TECHNICIAN (MECHANICAL),Field Service Engineer / Technician,['FIELD SERVICE ENGINEER / TECHNICIAN']
Design Engineer,Design Engineer,['Design Engineer']
Site Engineer,Site Engineer,['Site Engineer']
"Utilities & Facilities Engineering Technician, Singapore",Utilities & Facilities Engineering Technician,['Utilities & Facilities Engineering Technician']
Building Technician (M&E),(M&E,['Building Technician']
"Design Coordinator (Precast Concrete, Checker)",Design Coordinator,['Design Coordinator']
Senior Project Engineer/Project Engineer,Senior Project Engineer/Project Engineer,['Senior Project Engineer/Project Engineer']
Project Engineer,Project Engineer,['Project Engineer']
Technician - M Hotel Singapore,Technician - M Hotel Singapore,['Technician']
Project Engineer,Project Engineer,['Project Engineer']
Executive Engineer (M&E),Executive Engineer,['Executive Engineer']
Equipment Engineer (Pick & Place – Die Sort),Equipment Engineer,['Equipment Engineer']
Site Engineer,Site Engineer,['Site Engineer']
Process Senior Technical Specialist (Frontend),Process Senior Technical Specialist,['Technical Specialist']
Technician / Associate Engineer / Senior Associate Engineer - Facilities,/ Associate Engineer,['Technician / Associate Engineer']
Service Engineer,Service Engineer,['Service Engineer']
Equipment Engineer,Equipment Engineer,['Equipment Engineer']
Electrical Engineer/Assistant (Highvolt/No exp. OK!),Highvolt,['Electrical Engineer/Assistant']
"Technician, Diesel, Naval Services-Tuas",Diesel,['Technician']
Automation Project Engineer,Automation Project Engineer,['Automation Project Engineer']
Product Engineer - Automated Equipment Integration,Product Engineer - Automated Equipment Integration,['Product Engineer']
SOLUTION SOLAR ENGINEER,Solution Solar Engineer,['SOLUTION SOLAR ENGINEER']
Electrical Engineer,Electrical Engineer,['Electrical Engineer']
Engineer,Engineer,['Engineer']
Design Engineer  (C-PAK Pte Ltd),Design Engineer,['Design Engineer']
Metrology Technician,Metrology Technician,['Metrology Technician']
"Senior Engineer, Facilities-Benoi","Senior Engineer, Facilities-Benoi",['Senior Engineer']
Project Engineer,Project Engineer,['Project Engineer']
CMP Process Engineer,Cmp Process Engineer,['CMP Process Engineer']
JUNIOR CIVIL & STRUCTURAL DESIGN ENGINEER,Junior Civil,['JUNIOR CIVIL & STRUCTURAL DESIGN ENGINEER']
Semi-Conductor Technician,Semi-Conductor Technician,['Semi-Conductor Technician']
NEL Signalling - Assistant Engineer,Nel Signalling - Assistant Engineer,['NEL Signalling - Assistant Engineer']
CIVIL/STRUCTURAL ENGINEER,Civil/Structural Engineer,['CIVIL/STRUCTURAL ENGINEER']
Project Engineer (Mechanical) / Chemical Plant / $6K+,Project Engineer,['Project Engineer']
Electrical Engineer Assistant #73726,Electrical Engineer Assistant,['Electrical Engineer Assistant']
Project Manager,Project Manager,['Project Manager']
Equipment Technician,Equipment Technician,['Equipment Technician']
"Service Engineer, Electrical System",Service Engineer,['Service Engineer']
Engineer (M&E),Engineer,['Engineer']
Engineer (Electrical Project),Engineer,['Engineer']
NEL Rolling Stock - Senior/ Assistant Engineer,Nel Rolling,"['NEL Rolling Stock', 'Assistant Engineer']"
Project Engineer and Site Engineer (Construction),Project Engineer,['Project Engineer and Site Engineer']
M&E Supervisor,M&E Supervisor,['M&E Supervisor']
Calibration Technician,Calibration Technician,['Calibration Technician']
Chemical Process Technician,Chemical Process Technician,['Chemical Process Technician']
Process Engineer,Process Engineer,['Process Engineer']
ACMV Engineer,Acmv Engineer,['ACMV Engineer']
Automation Engineer / Robotic Engineer,Automation Engineer / Robotic Engineer,['Automation Engineer / Robotic Engineer']
Senior / Manufacturing Engineer,Senior / Manufacturing Engineer,['Senior / Manufacturing Engineer']
Service Engineer,Service Engineer,['Service Engineer']
Construction Coordinator,Construction Coordinator,['Construction Coordinator']
Electrical Engineer (Large Infrastructure),Electrical Engineer,['Electrical Engineer']
Site Engineer cum PE Assignee,Site Engineer Cum Pe Assignee,['Site Engineer cum PE Assignee']
Technical Specialist Mechanical/Mechatronics,Technical Specialist Mechanical/Mechatronics,['Technical Specialist Mechanical/Mechatronics']
M&E Coordinator,M&E Coordinator,['M&E Coordinator']
Mechanical Engineer,Mechanical Engineer,['Mechanical Engineer']
Brokers,Brokers,['Brokers']
Financial Service Advisor,Financial Service Advisor,['Financial Service Advisor']
"APAC Cash Operations Analyst, No experience welcome, S$4500 (ID: 667699)",Apac Cash Operations Analyst,['APAC Cash Operations Analyst']
Relationship Manager (Reserved Credit Card/Hybrid/HWN/Banking),Relationship Manager,['Relationship Manager']
Branch Loan Sales Executive (5.5 Days/Banking),Branch Loan Sales Executive,['Branch Loan Sales Executive']
Wealth Consultant at HSBC Life (Work-Life Balance and High Commission Role),Wealth Consultant,['Wealth Consultant']
Client Servicing Manager (SME),Client Servicing Manager,['Client Servicing Manager']
Senior/ Manager (Performance and Operations/ Vessel management),Senior/ Manager,[]
Relationship Manager,Relationship Manager,['Relationship Manager']
"Private Banking Operation (Foreign bank, Central)",Private Banking Operation,['Private Banking Operation']
"Team / Personal Assistant up to $5.7K, MNC/ BANK",Team / Personal Assistant,['Team / Personal Assistant']
AML Compliance Specialist,Aml Compliance Specialist,['AML Compliance Specialist']
Operation Officer (Banking / $5000 / Central / 3 months contract),Operation Officer,['Operation Officer']
Credit & Risk Management Officer,Credit & Risk Management Officer,['Credit & Risk Management Officer']
Treasury Settlement Senior Officer | Banking Industry,Treasury Settlement Senior Officer,['Treasury Settlement Senior Officer']
Private Banking Operation; Contract (6 mths),Private Banking Operation,['Private Banking Operation; Contract']
Customer Service Representative ( Attractive Salary + Paid Training Provided),Customer Service Representative,['Customer Service Representative']
Operation assistant (up to $4k/West/12 months contract),Operation Assistant,['Operation assistant']
Administrative Assistant (6 months),Administrative Assistant,['Administrative Assistant']
Trade Analyst (Bank  | up to 5k) Central,(Bank,['Trade Analyst']
Client Money Operations Officer,Client Money Operations Officer,['Client Money Operations Officer']
#NAME?,#Name,[]
Client Service Executive (Banking/ 12 Months Contract/ East/ Shifts),Client Service Executive,['Client Service Executive']
Fund Operations Associate,Fund Operations Associate,['Fund Operations Associate']
Bank Sales Specialist,Bank Sales Specialist,['Bank Sales Specialist']
Analyst (27489).,Analyst,['Analyst']
Order Processing Executive,Order Processing Executive,['Order Processing Executive']
Part-Time Admin Assistant,Part-Time Admin Assistant,['Admin Assistant']
Administrative Executive,Administrative Executive,['Administrative Executive']
Admin Assistant,Admin Assistant,['Admin Assistant']
Administrative and Filing Assistant (Intern / Part-Time – 2 months),Assistant,['Administrative']
Customer Service Officer (IFS),Customer Service Officer,['Customer Service Officer']
Examinations Officer & Administration Support,Examinations Officer & Administration Support,['Examinations Officer & Administration Support']
Admin Executive (No Experience Required),Admin Executive,['Admin Executive']
Admin Assistant (Computer & Communications),Admin Assistant,['Admin Assistant']
Admin Assistant (Merchandising),Admin Assistant,['Admin Assistant']
Admin Officer,Admin Officer,['Admin Officer']
Claims Admin Executive (No Experience Required),Claims Admin Executive,['Claims Admin Executive']
Administrative Support Executive,Administrative Support Executive,['Administrative Support Executive']
Personal Assistant,Personal Assistant,['Personal Assistant']
CLINIC EXECUTIVE,Clinic Executive,['CLINIC EXECUTIVE']
Customer Service Executive,Customer Service Executive,['Customer Service Executive']
Admin Executive (Fresh Grad & No Exp Welcomed),Admin Executive,['Admin Executive']
Facilities Officer,Facilities Officer,['Facilities Officer']
Executive Assistant to the CEO,Executive Assistant,['Executive Assistant']
Executive Assistant (Fresh Graduates Welcome),Executive Assistant,['Executive Assistant']
Admin Exeutive,Admin Exeutive,['Admin Exeutive']
[Urgent] Administrative Executive x 2,[Urgent] Administrative Executive,['Administrative Executive']
Admin Assistant,Admin Assistant,['Admin Assistant']
HR & Admin executive,Hr & Admin Executive,['HR & Admin executive']
Funeral Service Officer (Work 14 days per month/ perm job),Funeral Service Officer,['Funeral Service Officer']
Finance & Administration Manager - Strategic Operations,Finance,['Finance & Administration Manager']
Excursions Administrator,Excursions Administrator,['Excursions Administrator']
Centre Supervisor,Centre Supervisor,['Centre Supervisor']
admin assistant ( part time 5 hour daily ),Admin Assistant,['admin assistant']
Admin Manager/ Assistant Manager,Admin,['Admin Manager/ Assistant Manager']
Chauffeur,Chauffeur,['Chauffeur']
Business Planning & Support Officer,Business Planning,['Business Planning & Support Officer']
Office Administrator,Office Administrator,['Office Administrator']
Receptionist/Office Admin,Receptionist/Office Admin,['Receptionist/Office Admin']
Executive Assistant,Executive Assistant,['Executive Assistant']
HR Executive,Hr Executive,['HR Executive']
ADMINISTRATIVE ASSISTANT,Administrative Assistant,['ADMINISTRATIVE ASSISTANT']
Temp Data Entry Officer *immediate* #NJN,Temp Data Entry Officer *Immediate* #Njn,['Data Entry Officer']
SALES ASSISTANT/ ORDER PROCESSING,Sales Assistant/ Order Processing,['SALES ASSISTANT/ ORDER PROCESSING']
Executive Secretary,Executive Secretary,['Executive Secretary']
Admin Officer (Office Relocation Coordinator),Admin Officer,['Admin Officer']
Logistic Admin (3 Location),Logistic Admin,['Logistic Admin']
Up to $3750/Month | Government Admin Temp Staff | Central | 12 months Contract,Contract,['Up']
Preschool Centre Administrator,Preschool Centre Administrator,['Preschool Centre Administrator']
School Administrator,School Administrator,['School Administrator']
"Administrative Assistant (Data entry, Warehouse)",Administrative Assistant,['Administrative Assistant']
Care Associate,Care Associate,['Care Associate']
Nursing Aide,Nursing Aide,['Nursing Aide']
Program Engineer- (Business Development - Healthcare Product),Business Development,['Program Engineer-']
Technician,Technician,['Technician']
"Executive , Ops Resilience Cell (Integrated Operations Hub)","Executive , Ops Resilience Cell",['Executive']
Operations Executive (Healthcare),Operations Executive,['Operations Executive']
"Executive, Hospital Operations",Executive,['Executive']
Therapy Assistant,Therapy Assistant,['Therapy Assistant']
Executive Assistant (Healthcare),Executive Assistant,['Executive Assistant']
Pharmacy Technician,Pharmacy Technician,['Pharmacy Technician']
"Research Assistant (Public Health, Life Sciences) 1-Year Contract",Research Assistant,['Research Assistant']
Operations Manager (Healthcare),Operations Manager,['Operations Manager']
"Nutritionist, Raffles Wellness",Nutritionist,['Nutritionist']
Specialist Medical Sales Executive,Specialist Medical Sales Executive,['Specialist Medical Sales Executive']
Healthcare Assistant (Renal Dialysis),Healthcare Assistant,['Healthcare Assistant']
"Executive, Operational Development (2-year contract)",Executive,['Executive']
UNIT OPERATIONS MANAGER - HEALTHCARE,Unit Operations Manager - Healthcare,[]
"(Senior) Executive, Central Ops",(Senior) Executive,[]
Research Assistant / Research Officer,Research Assistant / Research Officer,['Research Assistant / Research Officer']
"Senior/ Research Analyst, Healthcare Research",Senior/ Research Analyst,['Senior/ Research Analyst']
Patient Service Associate,Patient Service Associate,['Patient Service Associate']
"Assistant Manager, Specialist Clinic Operations - Appointment Services",Assistant Manager,['Assistant Manager']
Healthcare Operations Senior/ Executive/ Assistant Manager (Multiple Settings),Healthcare Operations,[]
"Senior Manager, Aging & Transition",Senior Manager,['Senior Manager']
Clinic Nurse,Clinic Nurse,['Clinic Nurse']
Operations Executive (Healthcare),Operations Executive,['Operations Executive']
Manufacturing Technician (1-year contract),(1-Year Contract,[]
Driver cum Care Associate,Driver Cum Care Associate,['Driver cum Care Associate']
"UNHS Screener (Part time, Neonatology)",Unhs Screener,['UNHS Screener']
Clinic  Assistants,Clinic  Assistants,['Clinic  Assistants']
Dental Assistant,Dental Assistant,['Dental Assistant']
"Executive (Billing Adjustment), Business Office",Executive,['Executive']
Dental Surgery Assistant/ Receptionist #Urgent,Dental Surgery Assistant,['Dental Surgery Assistant/ Receptionist']
Executive / Senior Executive (Healthcare),Executive / Senior Executive,['Executive']
"Research Officer (Contract), OPP",Research Officer,['Research Officer']
Dental Assistant,Dental Assistant,['Dental Assistant']
Dental Clinic Assistant,Dental Clinic Assistant,['Dental Clinic Assistant']
Clinic Assistant,Clinic Assistant,['Clinic Assistant']
Multi-skilled Therapy Assistant (ANDS),Multi-Skilled Therapy Assistant,['Multi-skilled Therapy Assistant']
Nursing Aide / Care Support Associate (Healthcare) - QQ,(Healthcare,['Nursing Aide / Care Support Associate']
Social/ Case Worker (Community Day Care Center),Social/ Case Worker,['Social/ Case Worker']
Pharmacy Technician,Pharmacy Technician,['Pharmacy Technician']
"Assistant Manager, Business Liaison Office",Assistant Manager,['Assistant Manager']
Perfusionist,Perfusionist,['Perfusionist']
FULL TIME CLINIC ASSISTANT IN AMK Ave 1,Full Time Clinic Assistant,['FULL TIME CLINIC ASSISTANT']
Clinical Co-ordinator,Clinical Co-,['Clinical Co']
Social Work Coordinator,Social Work Coordinator,['Social Work Coordinator']
"Senior Executive, Business Liaison Office",Senior Executive,['Senior Executive']
Desktop Support/ IT Helpdesk Engineer,Desktop Support/ It Helpdesk Engineer,['Desktop Support/ IT Helpdesk Engineer']
IT Support Engineer,It Support Engineer,['IT Support Engineer']
Software Developer,Software Developer,['Software Developer']
IT Administrator,It Administrator,['IT Administrator']
IT Support Assistant,Assistant,['IT Support Assistant']
"Cloud Wintel, Junior Engineer",Cloud Wintel,['Cloud Wintel']
IT Support Specialist (9 months contract/up to $6000),It Support Specialist,"['IT Support Specialist', '/up']"
IT System Administrator,It System Administrator,['IT System Administrator']
Senior Desktop / EUC Deployment Engineer / Project Manager,Euc Deployment Engineer,['Senior Desktop / EUC Deployment Engineer / Project Manager']
Test Assistant Engineer (Railway Project),Railway Project,['Test Assistant Engineer']
Junior Application Engineer,Junior Application Engineer,['Junior Application Engineer']
IS Manager,Manager,['IS Manager']
PHP Developer (Backend),Php Developer,['PHP Developer']
"IT and Infrastructure Support (Senior Executive) - NUS College, Office of the",Infrastructure Support,['IT and Infrastructure Support']
Desktop Support Engineer,Desktop Support Engineer,['Desktop Support Engineer']
IT Infra Engineer,Engineer,['IT Infra Engineer']
Data Analyst,Data Analyst,['Data Analyst']
IT Executive,It Executive,['IT Executive']
Lead QA Engineer,Lead Qa Engineer,['Lead QA Engineer']
TECH REFRESH - IT SUPPORT - $2500 - 12 MONTHS RENEWABLE CONTRACT,Tech Refresh - It Support,['TECH REFRESH']
IT Specialist / Manager,It Specialist / Manager,['IT Specialist / Manager']
Entry - IT/Desktop Support Engineer | OJT Provided** | Basic up to $2400,Desktop Support Engineer,[]
Network Engineer (Layer 2 & 3 Network/ In-house Role / Not SI Coy),Network Engineer,['Network Engineer']
Lead Consultant - CASE,Lead Consultant - Case,['Lead Consultant']
Technical Pre-Sales Engineer,Technical Pre-Sales Engineer,['Technical Pre-Sales Engineer']
Cloud Engineer (Azure),Cloud Engineer,['Cloud Engineer']
"Executive, System Applications",Executive,['Executive']
Senior/Lead Business Analyst,Senior/Lead Business Analyst,['Senior/Lead Business Analyst']
Senior IT Director - Network Infrastructure & Data Center-Layer 3 + OSS & BSS,- Network,['Senior IT Director']
IT Support Specialist,Specialist,['IT Support Specialist']
IT Support Technician,Support Technician,['IT Support Technician']
IT Support Executive,It Support Executive,['IT Support Executive']
Technical Support Engineer,Technical Support Engineer,['Technical Support Engineer']
Software Engineer,Software Engineer,['Software Engineer']
Data Analyst (Digital Transformation) | Permanent,Digital Transformation,['Data Analyst']
IT Application Support Analyst,It Application Support Analyst,['IT Application Support Analyst']
Mobile Technical Support (ANDROID),Mobile Technical Support,['Mobile Technical Support']
Analyst Programmer,Analyst Programmer,['Analyst Programmer']
Business Analyst | Tertiary,Business Analyst | Tertiary,['Business Analyst']
Network Infrastructure Engineer (Government Sector),Network Infrastructure Engineer,['Network Infrastructure Engineer']
IT Incident Management Analyst (Shift),It Incident Management Analyst,['IT Incident Management Analyst']
Mechanical Design Engineer,Mechanical Design Engineer,['Mechanical Design Engineer']
Assistant Engineer,Assistant Engineer,['Assistant Engineer']
Facility Engineer,Facility Engineer,['Facility Engineer']
Project Engineer,Project Engineer,['Project Engineer']
Site Engineer,Site Engineer,['Site Engineer']
Service Engineer,Service Engineer,['Service Engineer']
Civil and Structural Design Engineer (Junior / Executive / Senior),Civil And Structural Design Engineer,['Civil and Structural Design Engineer']
Equipment Engineer_ PVD/ Metal Deposition,Equipment Engineer,['Equipment Engineer']
Schedule Control Engineer,Schedule Control Engineer,['Schedule Control Engineer']
Principle Process Engineer,Principle Process Engineer,['Principle Process Engineer']
Shift Technician,Shift Technician,['Shift Technician']
Drafting Technician,Drafting Technician,['Drafting Technician']
Field Engineer,Field Engineer,['Field Engineer']
Manufacturing Engineer / Engineering Assistant,Manufacturing Engineer / Engineering Assistant,['Manufacturing Engineer']
Assistant Engineer- (System/ Electrical/ IT),Assistant Engineer-,['Assistant Engineer-']
QEHS Manager,Qehs Manager,['QEHS Manager']
Stamping Process Engineer -  Large Global MNC in to Electronics Manufacturing,Process Engineer -  Large Global Mnc,['Stamping Process Engineer']
Facilities Engineer (YCH),Facilities Engineer,['Facilities Engineer']
SITE ENGINEER,Site Engineer,['SITE ENGINEER']
Project Engineer.,Project Engineer,['Project Engineer']
"Engineer, Service (Training)",Engineer,['Engineer']
Service Engineer (ACMV),Service Engineer,['Service Engineer']
Assistant Equipment Engineer,Assistant Equipment Engineer,['Assistant Equipment Engineer']
Technician - Casino,Technician - Casino,['Technician']
Technical Specialist ( ACMV/BMS/Up $3400/Changi Business Park/Mon-Fri/AWS+VB),Technical Specialist,['Technical Specialist']
Maintenance Coordinator Assistant,Maintenance Coordinator Assistant,['Maintenance Coordinator Assistant']
Service Technician/Engineer | 0 experience welcome | Loyang (Company transport),|,['Service Technician/Engineer']
Building Operations Engineer,Building Operations Engineer,['Building Operations Engineer']
Robotics Applications Engineer,Robotics Applications Engineer,['Robotics Applications Engineer']
R&D Mechanical Designer,R&D Mechanical Designer,['R&D Mechanical Designer']
Senior Project Engineer,Senior Project Engineer,['Senior Project Engineer']
ELECTRICAL ENGINEER.,Electrical Engineer,['ELECTRICAL ENGINEER']
Engineer - AOI Process,Engineer - Aoi Process,['Engineer']
Project Engineer,Project Engineer,['Project Engineer']
Assistant Engineer / Electronics - HS,Assistant Engineer / Electronics - Hs,['Assistant Engineer']
Field Engineer [No Experience Required | Manufacturing | Up to $5k + Bonus],[No Experience,['Field Engineer']
QEHS Manager,Qehs Manager,['QEHS Manager']
Process Engineer [Manufacturing | No Experience Required | Up to $5k],No Experience,['Process Engineer']
Electrical Engineer (UPS) - HS,Electrical Engineer,['Electrical Engineer']
Project Management Executive,Project Management Executive,['Project Management Executive']
Service Engineer,Service Engineer,['Service Engineer']
Equipment Engineer (WET Etch),Equipment Engineer,['Equipment Engineer']
Junior Quantity Surveyor,Junior Quantity Surveyor,['Junior Quantity Surveyor']
Project Engineer/Senior Project Engineer,Project Engineer/Senior Project Engineer,['Project Engineer']
Safety Engineer [East | No Experience Required | Up to $4K],Safety Engineer,['Safety Engineer']
Process Engineer,Process Engineer,['Process Engineer']
M&E Engineer [New Airport Civil or MRT proj]/5day/Up to $8K basic+VB/ A1 maincon,M&E Engineer,['M&E Engineer']
Drafter,Drafter,['Drafter']
Assistant Mechanical Design Engineer,Assistant Mechanical Design Engineer,['Assistant Mechanical Design Engineer']
CIVIL ENGINEER,Civil Engineer,['CIVIL ENGINEER']
Engineer,Engineer,['Engineer']
R&D Engineer (EDB-IPP Master’s Degree by Research Program),R&D Engineer,['R&D Engineer']
SITE ENGINEER,Site Engineer,['SITE ENGINEER']
Assistant Equipment Engineer,Assistant Equipment Engineer,['Assistant Equipment Engineer']
Application Engineer (Factory Automation - PLC & Robotics),Application Engineer,['Application Engineer']
Assistant Engineer (MNC/East/UP$3400/5 Days/Office Hours/AWS+VB),Assistant Engineer,['Assistant Engineer']
Process / Product Engineer - (Stationed in Batam),Batam,['Product Engineer']
Wealth Planner ( Basic + Allowances + Flexi benefits + High comms),Wealth Planner,['Wealth Planner']
Branch Sales Executive (Career opportunity in SG / $3500 + Commission),Branch Sales Executive,['Branch Sales Executive']
"Credit Operations Support Officer | Bank, Perm",Credit Operations Support Officer | Bank,['Credit Operations Support Officer']
Treasury & Credit  Analyst,Treasury & Credit  Analyst,['Treasury & Credit  Analyst']
Trade Support Exexcutive,Trade Support Exexcutive,['Trade Support Exexcutive']
Business Development Manager (BDM - FA),Business Development Manager,['Business Development Manager']
Investment Management Trainee,Investment Management Trainee,['Investment Management Trainee']
Compliance Intern (Part Time),Compliance Intern,['Compliance Intern']
"Bank officer (Backend, Central)",Bank Officer,['Bank officer']
"AML Analyst, KYC Reviews up to $6.3K (MNC/ BANK",Aml Analyst,['AML Analyst']
relationship manager,Relationship Manager,['relationship manager']
#NAME?,#Name,[]
Client onboarding specialist,Specialist,['Client onboarding specialist']
Operations Executive,Operations Executive,['Operations Executive']
Associate - Agency,Associate - Agency,['Associate']
Wealth Management Associate,Wealth Management Associate,['Wealth Management Associate']
Cash Management Officer (12 Months Renewable Contract),Cash Management Officer,['Cash Management Officer']
Intern - Operational Risk,Intern - Operational Risk,['Intern']
Investment Fund Consultant,Investment Fund Consultant,['Investment Fund Consultant']
Compliance Executive,Compliance Executive,['Compliance Executive']
Risk Operation Specialist (Trust & Safety),Risk Operation Specialist,['Risk Operation Specialist']
"Associate/Analyst, Investment Operations - Collateral Specialist, Global Financi",Associate/Analyst,['Associate/Analyst']
"Associate, Private Markets",Private Markets,['Associate']
Administrator (Customer Service & Admin),Administrator,['Administrator']
Customer Service,Customer Service,['Customer Service']
Administrative Assistant,Administrative Assistant,['Administrative Assistant']
Administrative Assistant,Administrative Assistant,['Administrative Assistant']
Executive Assistant (CSO),Executive Assistant,['Executive Assistant']
Admin Executive,Admin Executive,['Admin Executive']
Admin Assistant,Admin Assistant,['Admin Assistant']
HR & Admin Assistant - Perm/Temp,Hr & Admin Assistant - Perm/Temp,['Admin Assistant']
Front Desk cum Admin,Front Desk Cum Admin,['Front Desk cum Admin']
Admin Assistant (Operations/ Technical Support),Admin Assistant,['Admin Assistant']
Technical Admin Executive,Technical Admin Executive,['Technical Admin Executive']
Customer Service Coordinator cum purchaser,Customer Service Coordinator Cum Purchaser,['Customer Service Coordinator cum purchaser']
Administrative Accounts Assistant,Administrative Accounts Assistant,['Administrative Accounts Assistant']
Admin Operation,Admin Operation,['Admin Operation']
"Document Control Executive, Supply Chain",Document Control Executive,['Document Control Executive']
Personal Assistant to CFO,Personal Assistant,['Personal Assistant']
Admin Assistant,Admin Assistant,['Admin Assistant']
*IMMEDATE VACANCY* Customer Service Executive,*Immedate Vacancy,['Customer Service Executive']
Admin Executive,Admin Executive,['Admin Executive']
Customer Service Co-ordinator,Customer Service Co-,[]
Admin Assistant,Admin Assistant,['Admin Assistant']
Admin & Events Coordinator,Admin,['Admin & Events Coordinator']
Temporary Admin (3 months),Temporary Admin,['Temporary Admin']
Admin Executive#Urgent,Admin Executive#Urgent,['Admin Executive#Urgent']
ADMIN/ACCOUNTS EXECUTIVE,Admin,['ADMIN/ACCOUNTS EXECUTIVE']
Administration Executive,Administration Executive,['Administration Executive']
Admin Assistant (Up to $2600 / 5 Days / North-East),Admin Assistant,['Admin Assistant']
ADMINISTRATIVE ASSISTANT,Administrative Assistant,['ADMINISTRATIVE ASSISTANT']
Site Administrator,Site Administrator,['Site Administrator']
Senior Executive / Executive (Planner - Planning & Scheduling),Senior Executive / Executive,['Senior Executive / Executive']
Personal Assistant,Personal Assistant,['Personal Assistant']
Admin Assistant (Transport Department),Admin Assistant (Transport Department,['Admin Assistant']
Entry Level Accounts Assistant ($2.8K | 5 Days | Office Hours)- DC,Entry Level,['Entry Level Accounts Assistant']
Admin Executive,Admin Executive,['Admin Executive']
Admin & Billing Assistant,Admin,['Admin & Billing Assistant']
Receptionist cums Administrative Assistant,Receptionist,['Receptionist cums Administrative Assistant']
Admin Assistant,Admin Assistant,['Admin Assistant']
Assistant Officer (Business Admin),Assistant Officer,['Assistant Officer']
Administration Support (Site),Administration Support,['Administration Support']
Patient Service Officer | Hougang/ Sengkang / Punggol,Patient Service Officer |,['Patient Service Officer']
